名称,武器分类,基础准度,静止射击准度,移动射击准度,被瞄准射击准度,存在距离加成,最大连射奖励次数,最小散步,最大散步,散射角度,散射无规律,造成状态效果概率,对地最小射程,对直升机最小射程,对固定翼最小射程,对地最大射程,对直升机最大射程,对固定翼最大射程,伤害类别,伤害类型索引,基底伤害量,物理伤害溅射半径,压制伤害,压制伤害建设半径,允许未命中造成压制伤害,武器穿深进化类型,引导方式,瞄准时间,装填时间,发射间隔时间,可发射次数,校准射击瞄准时间修正系数,校准射击散步修正系数,补给消耗,投射物类型,烟雾类型,单一锁敌,乱序射击,可穿甲,可移动射击,可直接瞄准,可曲射射击,可盲射,盲射射击次数,可杀伤固定翼,瞄准目标中心,强制造成对顶伤害,造成着火效果,造成着火概率,无友军伤害,射击隐匿惩罚,串联武器,子弹药描述,展示连射准度,面板消耗弹药数量,效果间隔,弹药类型,对地最小射程,对地最大射程,投射物最小射程,高度射程
Ammo_210mm_Rocket_x2,MinMax_ROCKET,否,25,25,否,无,无,43.829845049999996,87.65969009999999,否,无,否,0.0,无,无,10957.461262499999,无,无,无,无,5.0,584.397934,300.0,1314.8953514999998,无,无,无,否,是,0.2,2,是,无,1800,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_NapalmLeger,是,否,是,无,无,无,2,0.2,EArmeType/Roquette,0.0,10957.461262499999,0.0,292.198967
Ammo_210mm_Rocket_x4,MinMax_ROCKET,否,25,25,否,无,无,58.4397934,116.8795868,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,5.0,584.397934,300.0,1314.8953514999998,无,无,无,否,是,0.2,4,是,无,1980,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_NapalmLeger,是,否,是,无,无,无,4,0.2,EArmeType/Roquette,0.0,14609.948349999999,0.0,292.198967
Ammo_28_39M_80mm_AA,MinMax_DUALGUN,否,10,否,否,无,-1,58.4397934,146.0994835,否,无,16,0.0,无,无,0.0,无,无,无,无,4.5,467.5183472,360.0,2337.591736,无,无,无,是,3.8,3.8,是,是,无,44,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,12.6,无,无,无,是,3.8,EArmeType/BalleDCA,0.0,0.0,0.0,无
Ammo_28_39M_80mm_AP,MinMax_GUN,否,40,10,否,无,3,无,58.4397934,否,无,100,0.0,无,无,25567.4096125,无,无,无,无,8.0,2.92198967,121.0,353.56075007,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_1750m,无,4.0,5.0,5.0,是,是,无,44,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,14.7,无,无,无,是,5.0,EArmeType/AP_25,0.0,25567.4096125,0.0,189.92932854999998
Ammo_28_39M_80mm_HE,MinMax_DUALGUN,否,10,14,否,无,-1,无,73.04974175,否,无,否,0.0,无,无,25567.4096125,无,无,无,无,2.2,280.51100832,176.0,730.4974175,无,无,无,4.0,5.0,5.0,是,是,无,44,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,14.7,无,无,无,是,5.0,EArmeType/HE,0.0,25567.4096125,0.0,233.7591736
Ammo_305mm_BETAB750DS_Rocket_x2,MinMax_ROCKET,否,25,25,否,无,无,43.829845049999996,87.65969009999999,否,无,否,0.0,无,无,10957.461262499999,无,无,无,无,8.0,1168.795868,500.0,2191.4922524999997,无,无,无,否,是,0.2,2,是,无,3000,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_NapalmLeger,是,否,是,无,无,无,2,0.2,EArmeType/Roquette,0.0,10957.461262499999,0.0,292.198967
Ammo_36ML63__DIMAVAG_Bofors_40mm_AA,MinMax_AUTOCANAA,否,16,否,否,无,无,58.4397934,146.0994835,否,无,12,0.0,无,无,0.0,无,无,无,无,1.33,292.198967,133.0,1753.193802,无,无,无,否,3.0,0.4,8,是,无,106,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,8.4,无,无,无,8,0.4,EArmeType/BalleDCA,0.0,0.0,0.0,无
Ammo_36ML63__DIMAVAG_Bofors_40mm_AP,MinMax_AUTOCANAA,否,40,15,否,无,-1,无,58.4397934,否,无,40,0.0,无,无,14609.948349999999,无,无,无,无,5.0,2.92198967,72.0,210.38325623999998,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_1000m,无,4.0,3.0,0.4,8,是,无,32,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,8.4,无,无,无,8,0.4,EArmeType/AP_15,0.0,14609.948349999999,0.0,无
Ammo_36ML63__DIMAVAG_Bofors_40mm_HE,MinMax_AUTOCANAA,否,20,10,否,无,-1,无,58.4397934,否,无,40,0.0,无,无,14609.948349999999,无,无,无,无,0.8,160.70943185,60.0,584.397934,无,无,无,4.0,3.0,0.4,8,是,无,64,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,8.4,无,无,无,8,0.4,EArmeType/HE,0.0,14609.948349999999,0.0,无
Ammo_36ML63__DIMAVAG_Bofors_40mm_HEAT,MinMax_AUTOCANAA,否,30,否,否,无,3,无,14.60994835,否,无,100,0.0,无,无,10957.461262499999,无,无,无,无,10.0,2.92198967,262.0,765.56129354,无,无,无,否,10.0,是,是,是,无,100,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,9.6,无,无,无,是,是,EArmeType/AP_40,0.0,10957.461262499999,0.0,219.14922525
Ammo_39M_Danuvia,MinMax_Rifle,否,75,30,否,无,无,无,29.2198967,否,无,否,0.0,无,无,1460.994835,无,无,无,无,0.4,2.92198967,10.0,292.198967,无,无,无,是,3.0,1.4,8,是,无,20,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.88,无,无,无,40,0.2,EArmeType/Balle,0.0,1460.994835,0.0,无
Ammo_39M_Danuvia_x2,MinMax_Rifle,否,75,30,否,无,无,无,29.2198967,否,无,否,0.0,无,无,1460.994835,无,无,无,无,0.8,2.92198967,16.0,292.198967,无,无,无,是,3.0,1.4,8,是,无,40,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.88,无,无,无,80,0.2,EArmeType/Balle,0.0,1460.994835,0.0,无
Ammo_39M_Danuvia_x3,MinMax_Rifle,否,75,30,否,无,无,无,29.2198967,否,无,否,0.0,无,无,1460.994835,无,无,无,无,1.2,2.92198967,23.0,292.198967,无,无,无,是,3.0,1.4,8,是,无,60,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.88,无,无,无,120,0.2,EArmeType/Balle,0.0,1460.994835,0.0,无
Ammo_39M_Danuvia_x4,MinMax_Rifle,否,75,30,否,无,无,无,29.2198967,否,无,否,0.0,无,无,1460.994835,无,无,无,无,1.6,2.92198967,29.0,350.63876039999997,无,无,无,是,3.0,1.4,8,是,无,80,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.88,无,无,无,160,0.2,EArmeType/Balle,0.0,1460.994835,0.0,无
Ammo_43M_Danuvia,MinMax_Rifle,否,80,30,否,无,无,无,29.2198967,否,无,否,0.0,无,无,1460.994835,无,无,无,无,0.4,2.92198967,10.0,292.198967,无,无,无,是,3.0,1.4,8,是,无,20,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.88,无,无,无,40,0.2,EArmeType/Balle,0.0,1460.994835,0.0,无
Ammo_43M_Danuvia_x2,MinMax_Rifle,否,80,30,否,无,无,无,29.2198967,否,无,否,0.0,无,无,1460.994835,无,无,无,无,0.8,2.92198967,16.0,292.198967,无,无,无,是,3.0,1.4,8,是,无,40,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.88,无,无,无,80,0.2,EArmeType/Balle,0.0,1460.994835,0.0,无
Ammo_43M_Danuvia_x4,MinMax_Rifle,否,80,30,否,无,无,无,29.2198967,否,无,否,0.0,无,无,1460.994835,无,无,无,无,1.6,2.92198967,29.0,350.63876039999997,无,无,无,是,3.0,1.4,8,是,无,60,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.88,无,无,无,120,0.2,EArmeType/Balle,0.0,1460.994835,0.0,无
Ammo_43M_Danuvia_x5,MinMax_Rifle,否,80,30,否,无,无,无,29.2198967,否,无,否,0.0,无,无,1460.994835,无,无,无,无,2.0,2.92198967,36.0,350.63876039999997,无,无,无,是,3.0,1.4,8,是,无,100,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,2.88,无,无,无,200,0.2,EArmeType/Balle,0.0,1460.994835,0.0,无
Ammo_44_M_Kezi_Raketaveto,MinMax_Bazooka,否,80,否,否,无,3,无,14.60994835,否,无,100,0.0,无,无,3652.4870874999997,无,无,无,无,10.0,2.92198967,237.0,692.51155179,无,无,无,否,8.0,是,是,是,无,100,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,7.2,无,无,无,是,是,EArmeType/AP_38,0.0,3652.4870874999997,0.0,73.04974175
Ammo_47_32_47mm_AP,MinMax_GUN,否,50,20,否,无,3,无,58.4397934,否,无,100,0.0,无,无,18262.4354375,无,无,无,无,5.0,2.92198967,59.0,172.39739053,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_1250m,无,4.0,8.0,8.0,是,是,无,25,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,4.0,无,无,无,是,8.0,EArmeType/AP_11,0.0,18262.4354375,0.0,204.5392769
Ammo_47_32_47mm_HE,MinMax_GUN,否,24,14,否,无,-1,无,35.06387604,否,无,否,0.0,无,无,18262.4354375,无,无,无,无,0.94,137.33351449,101.0,438.2984505,无,无,无,4.0,8.0,8.0,是,是,无,25,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,4.0,无,无,无,是,8.0,EArmeType/HE,0.0,18262.4354375,0.0,219.14922525
Ammo_47_32_47mm_HEAT,MinMax_GUN,否,30,14,否,无,3,无,58.4397934,否,无,100,0.0,无,无,18262.4354375,无,无,无,无,7.0,2.92198967,65.0,189.92932854999998,无,无,无,4.0,8.0,8.0,是,是,无,25,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,4.0,无,无,无,是,8.0,EArmeType/AP_13,0.0,18262.4354375,0.0,204.5392769
Ammo_47_40_47mm_AP,MinMax_GUN,否,55,25,否,无,3,无,58.4397934,否,无,100,0.0,无,无,18262.4354375,无,无,无,无,5.0,2.92198967,68.0,198.69529756,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_1250m,无,4.0,8.0,8.0,是,是,无,25,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,4.0,无,无,无,是,8.0,EArmeType/AP_14,0.0,18262.4354375,0.0,204.5392769
Ammo_47_40_47mm_HE,MinMax_GUN,否,24,14,否,无,-1,无,35.06387604,否,无,否,0.0,无,无,18262.4354375,无,无,无,无,0.94,137.33351449,101.0,438.2984505,无,无,无,4.0,8.0,8.0,是,是,无,25,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,4.0,无,无,无,是,8.0,EArmeType/HE,0.0,18262.4354375,0.0,219.14922525
Ammo_47mm_Bohler_AP,MinMax_ATGUN,否,50,20,否,无,3,无,58.4397934,否,无,100,0.0,无,无,18262.4354375,无,无,无,无,5.0,2.92198967,68.0,198.69529756,无,~/DamageTypeEvolutionOverRangeDescriptor_Chute_Lente_1250m,无,3.0,5.5,5.5,是,是,无,25,EProjectileType/Obus,无,无,无,是,无,是,否,无,无,是,是,无,无,无,是,4.0,无,无,无,是,5.5,EArmeType/AP_14,0.0,18262.4354375,0.0,204.5392769
Ammo_47mm_Bohler_HE,MinMax_ATGUN,否,24,14,否,无,-1,无,35.06387604,否,无,否,0.0,无,无,18262.4354375,无,无,无,无,0.94,137.33351449,101.0,438.2984505,无,无,无,3.0,5.5,5.5,是,是,无,25,EProjectileType/Obus,无,无,无,否,无,是,否,无,无,是,是,无,无,无,是,4.0,无,无,无,是,5.5,EArmeType/HE,0.0,18262.4354375,0.0,219.14922525
Ammo_58mm_Rocket_AP_x6_Rosie,MinMax_ROCKET,否,40,40,否,无,无,73.04974175,146.0994835,否,无,15,0.0,无,无,10957.461262499999,无,无,无,无,3.0,233.7591736,350.0,876.596901,无,无,无,否,是,0.6,2,是,无,300,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,2,0.5,EArmeType/Roquette_AP,0.0,10957.461262499999,0.0,292.198967
Ammo_58mm_Rocket_x6_Rosie,MinMax_ROCKET,否,25,25,否,无,无,73.04974175,146.0994835,否,无,15,0.0,无,无,10957.461262499999,无,无,无,无,1.2,233.7591736,180.0,788.9372109,无,无,无,否,是,0.3,6,是,无,870,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,6,0.3,EArmeType/Roquette,0.0,10957.461262499999,0.0,292.198967
Ammo_80mm_Panzerblitz_1_AP_Rocket_x12,MinMax_ROCKET,否,25,25,否,无,无,87.65969009999999,175.31938019999998,否,无,15,0.0,无,无,14609.948349999999,无,无,无,无,2.0,233.7591736,450.0,1168.795868,无,无,无,否,是,0.3,12,是,无,1380,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,12,0.3,EArmeType/Roquette_AP,0.0,14609.948349999999,0.0,292.198967
Ammo_82mm_M8_HE_Rocket_x8,MinMax_ROCKET,否,25,25,否,无,无,87.65969009999999,175.31938019999998,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,1.6,292.198967,200.0,876.596901,无,无,无,否,是,0.3,8,是,无,1200,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_NapalmLeger,0.5,否,是,无,无,无,8,0.3,EArmeType/Roquette,0.0,14609.948349999999,0.0,292.198967
Ammo_82mm_RBS82_AP_Rocket_x10,MinMax_ROCKET,否,25,25,否,无,无,102.26963845,204.5392769,否,无,15,0.0,无,无,14609.948349999999,无,无,无,无,2.0,233.7591736,450.0,1168.795868,无,无,无,否,是,0.2,10,是,无,1800,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,10,0.2,EArmeType/Roquette_AP,0.0,14609.948349999999,0.0,292.198967
Ammo_82mm_RBS82_AP_Rocket_x6,MinMax_ROCKET,否,25,25,否,无,无,73.04974175,146.0994835,否,无,15,0.0,无,无,14609.948349999999,无,无,无,无,2.0,233.7591736,450.0,1168.795868,无,无,无,否,是,0.3,6,是,无,1200,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,6,0.3,EArmeType/Roquette_AP,0.0,14609.948349999999,0.0,292.198967
Ammo_82mm_RBS82_AP_Rocket_x8,MinMax_ROCKET,否,25,25,否,无,无,87.65969009999999,175.31938019999998,否,无,15,0.0,无,无,14609.948349999999,无,无,无,无,2.0,233.7591736,450.0,1168.795868,无,无,无,否,是,0.3,8,是,无,1380,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,8,0.3,EArmeType/Roquette_AP,0.0,14609.948349999999,0.0,292.198967
Ammo_82mm_ROFS82_HE_Rocket_x6,MinMax_ROCKET,否,25,25,否,无,无,73.04974175,146.0994835,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,1.4,438.2984505,250.0,1095.7461262499999,无,无,无,否,是,0.3,6,是,无,1200,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,6,0.3,EArmeType/Frag,0.0,14609.948349999999,0.0,292.198967
Ammo_82mm_ROFS82_HE_Rocket_x8,MinMax_ROCKET,否,25,25,否,无,无,87.65969009999999,175.31938019999998,否,无,否,0.0,无,无,14609.948349999999,无,无,无,无,1.4,438.2984505,250.0,1095.7461262499999,无,无,无,否,是,0.3,8,是,无,1380,EProjectileType/Obus,无,无,无,否,无,否,否,无,无,否,是,无,~/Descriptor_Fire_Incendie,0.1,否,是,无,无,无,8,0.3,EArmeType/Frag,0.0,14609.948349999999,0.0,292.198967
